ID,Colonia,Alcaldía,Latitud,Longitud,Puntos_de_acceso,Programa
1,CENTRO,CUAUHTÉMOC,19.43528,-99.14715,1,Postes_C5
2,CENTRO,CUAUHTÉMOC,19.43510,-99.14582,1,Postes_C5
3,CENTRO,CUAUHTÉMOC,19.43457,-99.14386,1,Postes_C5
4,CENTRO,CUAUHTÉMOC,19.43437,-99.14270,1,Postes_C5
5,CENTRO,CUAUHTÉMOC,19.43424,-99.14188,1,Postes_C5
6,CENTRO,CUAUHTÉMOC,19.43373,-99.14675,1,Postes_C5
7,CENTRO,CUAUHTÉMOC,19.43309,-99.14270,1,Postes_C5
9,CENTRO,CUAUHTÉMOC,19.43231,-99.12703,1,Postes_C5
10,CENTRO,CUAUHTÉMOC,19.43437,-99.12763,1,Postes_C5
11,CENTRO,CUAUHTÉMOC,19.42792,-99.12947,1,Postes_C5
12,PORVENIR,AZCAPOTZALCO,19.46954,-99.14477,1,Postes_C5
13,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,19.54888,-99.15937,1,Postes_C5
14,COCOYOTES 2137,GUSTAVO A. MADERO,19.54850,-99.13398,1,Postes_C5
15,AHUEHUETES,GUSTAVO A. MADERO,19.54500,-99.13116,1,Postes_C5
16,C.T.M. EL RISCO,GUSTAVO A. MADERO,19.50954,-99.09616,1,Postes_C5
17,LOMA LA PALMA,GUSTAVO A. MADERO,19.55092,-99.14203,1,Postes_C5
19,OBRERO POPULAR,AZCAPOTZALCO,19.46808,-99.17610,1,Postes_C5
21,DEL CARMEN,COYOACÁN,19.35526,-99.16115,1,Postes_C5
22,MEXICALTZINGO 2326,IZTAPALAPA,19.35989,-99.12202,1,Postes_C5
23,DEL VALLE NORTE,BENITO JUÁREZ,19.39642,-99.16165,1,Postes_C5
25,FUENTES BROTANTES 2198,TLALPAN,19.28940,-99.17782,1,Postes_C5
26,TLALPAN CENTRO,TLALPAN,19.28393,-99.17548,1,Postes_C5
27,SANTA BARBARA,IZTAPALAPA,19.35617,-99.10579,1,Postes_C5
28,LOMAS DE SAN LORENZO,IZTAPALAPA,19.32519,-99.06514,1,Postes_C5
30,NUEVA VALLEJO,GUSTAVO A. MADERO,19.48503,-99.14901,1,Postes_C5
31,INSTITUTO POLITECNICO NACIONAL,GUSTAVO A. MADERO,19.49687,-99.14177,1,Postes_C5
32,MAXIMINO AVILA CAMACHO,GUSTAVO A. MADERO,19.48092,-99.13742,1,Postes_C5
34,TLACAMACA,GUSTAVO A. MADERO,19.47618,-99.13764,1,Postes_C5
36,LOMA LA PALMA,GUSTAVO A. MADERO,19.55285,-99.14154,1,Postes_C5
37,LOMA LA PALMA,GUSTAVO A. MADERO,19.54908,-99.14539,1,Postes_C5
38,CUAUTEPEC DE MADERO,GUSTAVO A. MADERO,19.54882,-99.14096,1,Postes_C5
39,LINDAVISTA,GUSTAVO A. MADERO,19.49194,-99.13841,1,Postes_C5
40,LOMA LA PALMA,GUSTAVO A. MADERO,19.55124,-99.14942,1,Postes_C5
41,CHALMA DE GUADALUPE,GUSTAVO A. MADERO,19.55492,-99.14755,1,Postes_C5
42,SAN JUAN DE ARAGON VII SECCION,GUSTAVO A. MADERO,19.47669,-99.07595,1,Postes_C5
43,SANTA MARTHA,MILPA ALTA,19.19260,-99.02783,1,Postes_C5
44,XOCHITEPEC,MILPA ALTA,19.21495,-98.99144,1,Postes_C5
45,SAN ANDRES,TLÁHUAC,19.26619,-99.00067,1,Postes_C5
46,ROMERO RUBIO,VENUSTIANO CARRANZA,19.44416,-99.09844,1,Postes_C5
47,CENTRO,CUAUHTÉMOC,19.43278,-99.14669,1,Postes_C5
48,CENTRO,CUAUHTÉMOC,19.43256,-99.14514,1,Postes_C5
49,DEL VALLE SUR,BENITO JUÁREZ,19.37684,-99.16193,1,Postes_C5
50,AMERICAS UNIDAS,BENITO JUÁREZ,19.38153,-99.14359,1,Postes_C5
51,ANZURES,MIGUEL HIDALGO,19.42958,-99.17755,1,Postes_C5
52,PORTALES NORTE,BENITO JUÁREZ,19.36835,-99.14443,1,Postes_C5
53,NUEVA ATZACOALCO,GUSTAVO A. MADERO,19.50472,-99.08655,1,Postes_C5
54,SALVADOR DIAZ MIRON,GUSTAVO A. MADERO,19.48759,-99.09969,1,Postes_C5
55,SALVADOR DIAZ MIRON,GUSTAVO A. MADERO,19.48735,-99.10223,1,Postes_C5
56,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,19.47148,-99.12220,1,Postes_C5
57,ARAGON LA VILLA,GUSTAVO A. MADERO,19.47794,-99.10997,1,Postes_C5
58,SALVADOR DIAZ MIRON,GUSTAVO A. MADERO,19.48832,-99.09761,1,Postes_C5
59,LORETO,ÁLVARO OBREGÓN,19.33837,-99.19454,1,Postes_C5
60,VILLA VERDUN,ÁLVARO OBREGÓN,19.33949,-99.26401,1,Postes_C5
61,GUADALUPE INN,ÁLVARO OBREGÓN,19.35598,-99.18485,1,Postes_C5
62,JARDINES DEL PEDREGAL,ÁLVARO OBREGÓN,19.33107,-99.21025,1,Postes_C5
63,JARDINES DEL PEDREGAL,ÁLVARO OBREGÓN,19.32625,-99.19868,1,Postes_C5
64,FLORIDA,ÁLVARO OBREGÓN,19.35744,-99.18410,1,Postes_C5
65,JARDINES DEL PEDREGAL,ÁLVARO OBREGÓN,19.31480,-99.20239,1,Postes_C5
66,CENTRO,CUAUHTÉMOC,19.43214,-99.14213,1,Postes_C5
67,CENTRO,CUAUHTÉMOC,19.43195,-99.14632,1,Postes_C5
68,CENTRO,CUAUHTÉMOC,19.43052,-99.14365,1,Postes_C5
69,TACUBAYA,MIGUEL HIDALGO,19.40719,-99.18445,1,Postes_C5
70,SAN MIGUEL CHAPULTEPEC,MIGUEL HIDALGO,19.41564,-99.18382,1,Postes_C5
71,SAN DIEGO CHURUBUSCO,COYOACÁN,19.35463,-99.14944,1,Postes_C5
72,XALTOCAN,XOCHIMILCO,19.25130,-99.09936,1,Postes_C5
73,ARAGON LA VILLA,GUSTAVO A. MADERO,19.48150,-99.11655,1,Postes_C5
74,GUADALUPE INSURGENTES,GUSTAVO A. MADERO,19.47315,-99.13244,1,Postes_C5
75,GUADALUPE TEPEYAC,GUSTAVO A. MADERO,19.46987,-99.11820,1,Postes_C5
76,GUADALUPE INSURGENTES,GUSTAVO A. MADERO,19.47468,-99.13087,1,Postes_C5
77,VALLEJO,GUSTAVO A. MADERO,19.46932,-99.12948,1,Postes_C5
78,NUEVA INDUSTRIAL VALLEJO,GUSTAVO A. MADERO,19.50430,-99.15100,1,Postes_C5
79,SAN JUAN DE ARAGON I SECCION 2438,GUSTAVO A. MADERO,19.45798,-99.09187,1,Postes_C5
80,SAN JUAN DE ARAGON VII SECCION,GUSTAVO A. MADERO,19.47322,-99.07055,1,Postes_C5
81,SAN FELIPE DE JESUS,GUSTAVO A. MADERO,19.49481,-99.07416,1,Postes_C5
82,SAN JUAN DE ARAGON VII SECCION,GUSTAVO A. MADERO,19.47581,-99.07887,1,Postes_C5
83,PROVIDENCIA 2394,GUSTAVO A. MADERO,19.47688,-99.07235,1,Postes_C5
84,LA PATERA VALLEJO 2260,GUSTAVO A. MADERO,19.50387,-99.15592,1,Postes_C5
85,LOMA LA PALMA,GUSTAVO A. MADERO,19.54268,-99.14715,1,Postes_C5
86,PERALVILLO,CUAUHTÉMOC,19.46093,-99.12653,1,Postes_C5
87,GENERAL IGNACIO ZARAGOZA,VENUSTIANO CARRANZA,19.41144,-99.08841,1,Postes_C5
88,AMPLIACION CASAS ALEMAN,GUSTAVO A. MADERO,19.47355,-99.07908,1,Postes_C5
89,VILLA GUSTAVO A MADERO,GUSTAVO A. MADERO,19.48350,-99.11219,1,Postes_C5
